year,sex,age,population
1986,Female,72,11938
1991,Female,72,11994
1996,Female,72,12469
1997,Female,72,12538
1998,Female,72,12552
1999,Female,72,12453
2000,Female,72,12157
2001,Female,72,12084
2002,Female,72,12237
2003,Female,72,12253
2004,Female,72,12184
2005,Female,72,12442
2006,Female,72,12381
2007,Female,72,12589
2008,Female,72,12819
2009,Female,72,12896
2010,Female,72,12777
2011,Female,72,13581
2012,Female,72,13948
2013,Female,72,13811
2014,Female,72,14221
2015,Female,72,15683
2016,Female,72,16220
2017,Female,72,17114
2018,Female,72,18406
1926,Male,73,6549
1936,Male,73,7495
1946,Male,73,9486
1951,Male,73,9089
1961,Male,73,8414
1966,Male,73,7947
1971,Male,73,7814
1979,Male,73,8305
1981,Male,73,8453
1986,Male,73,9896
1991,Male,73,8487
1996,Male,73,9669
1997,Male,73,9617
1998,Male,73,9636
1999,Male,73,9444
2000,Male,73,9452
2001,Male,73,9010
2002,Male,73,9643
2003,Male,73,10170
2004,Male,73,10402
2005,Male,73,10426
2006,Male,73,10595
2007,Male,73,10788
2008,Male,73,10868
2009,Male,73,11206
2010,Male,73,11580
2011,Male,73,11676
2012,Male,73,12399
2013,Male,73,12808
2014,Male,73,12754
2015,Male,73,13329
2016,Male,73,14391
2017,Male,73,15320
2018,Male,73,16099
1926,Female,73,7752
1936,Female,73,8570
1946,Female,73,9644
1951,Female,73,9269
1961,Female,73,9155
1966,Female,73,8864
1971,Female,73,9821
1979,Female,73,10264
1981,Female,73,9821
1986,Female,73,11900
1991,Female,73,10471
1996,Female,73,12512
1997,Female,73,12098
1998,Female,73,12163
1999,Female,73,12139
2000,Female,73,12105
2001,Female,73,11766
2002,Female,73,11755
2003,Female,73,11894
2004,Female,73,11867
2005,Female,73,11778
2006,Female,73,11808
2007,Female,73,12159
2008,Female,73,12526
2009,Female,73,12685
2010,Female,73,12856
2011,Female,73,12770
2012,Female,73,13351
2013,Female,73,13737
2014,Female,73,13627
2015,Female,73,14038
2016,Female,73,15377
2017,Female,73,16016
2018,Female,73,16882
1926,Male,74,5811
1936,Male,74,7080
1946,Male,74,8533
1951,Male,74,8826
1961,Male,74,7771
1966,Male,74,7101
1971,Male,74,7719
1979,Male,74,7937
1981,Male,74,8022
1986,Male,74,9262
1991,Male,74,8732
1996,Male,74,8903
1997,Male,74,9215
1998,Male,74,9207
1999,Male,74,9276
2000,Male,74,9210
2001,Male,74,9305
2002,Male,74,8983
2003,Male,74,9235
2004,Male,74,9818
2005,Male,74,10089
2006,Male,74,9931
2007,Male,74,10200
2008,Male,74,10445
2009,Male,74,10670
2010,Male,74,11059
2011,Male,74,11406
2012,Male,74,11426
2013,Male,74,12119
2014,Male,74,12557
2015,Male,74,12441
2016,Male,74,13088
2017,Male,74,14079
2018,Male,74,15080
1926,Female,74,7281
1936,Female,74,8043
1946,Female,74,8493
1951,Female,74,9065
1961,Female,74,8897
1966,Female,74,8056
1971,Female,74,9487
1979,Female,74,9873
1981,Female,74,9609
1986,Female,74,10981
1991,Female,74,11090
1996,Female,74,11550
1997,Female,74,12127
1998,Female,74,11782
1999,Female,74,11789
2000,Female,74,11780
2001,Female,74,11774
2002,Female,74,11470
2003,Female,74,11434
2004,Female,74,11644
2005,Female,74,11654
2006,Female,74,11430
2007,Female,74,11465
2008,Female,74,11866
2009,Female,74,12175
2010,Female,74,12383
2011,Female,74,12499
2012,Female,74,12553
2013,Female,74,13182
2014,Female,74,13522
2015,Female,74,13473
2016,Female,74,13724
2017,Female,74,15185
2018,Female,74,15851
1926,Male,75,6298
1936,Male,75,6914
1946,Male,75,8366
1951,Male,75,8253
1961,Male,75,7095
1966,Male,75,7165
1971,Male,75,7093
1979,Male,75,7017
1981,Male,75,7154
1986,Male,75,8589
1991,Male,75,8258
1996,Male,75,8677
1997,Male,75,8413
1998,Male,75,8570
1999,Male,75,8480
2000,Male,75,8470
2001,Male,75,8468
2002,Male,75,8531
2003,Male,75,8541
2004,Male,75,8732
2005,Male,75,9284
2006,Male,75,9428
2007,Male,75,9549
2008,Male,75,9789
2009,Male,75,10102
2010,Male,75,10376
2011,Male,75,10700
2012,Male,75,11009
2013,Male,75,11047
2014,Male,75,11735
2015,Male,75,12124
2016,Male,75,11993
2017,Male,75,12673
2018,Male,75,13666
1926,Female,75,7431
1936,Female,75,7837
1946,Female,75,8737
1951,Female,75,8764
1961,Female,75,7879
1966,Female,75,8211
1971,Female,75,8803
1979,Female,75,9136
1981,Female,75,9292
1986,Female,75,10590
1991,Female,75,10463
1996,Female,75,11480
1997,Female,75,11081
1998,Female,75,11677
1999,Female,75,11236
2000,Female,75,11302
2001,Female,75,11319
2002,Female,75,11251
2003,Female,75,11129
2004,Female,75,11157
2005,Female,75,11404
2006,Female,75,11208
2007,Female,75,11116
2008,Female,75,11172
2009,Female,75,11606
2010,Female,75,12021
2011,Female,75,12195
2012,Female,75,12199
2013,Female,75,12254
2014,Female,75,12879
2015,Female,75,13205
2016,Female,75,13086
2017,Female,75,13408
2018,Female,75,14888
1926,Male,76,5048
1936,Male,76,6029
1946,Male,76,6947
1951,Male,76,7218
1961,Male,76,6799
1966,Male,76,6138
1971,Male,76,6315
1979,Male,76,6395
1981,Male,76,6542
1986,Male,76,7374
1991,Male,76,7799
1996,Male,76,7953
1997,Male,76,8099
1998,Male,76,7869
1999,Male,76,7947
2000,Male,76,7904
2001,Male,76,7958
2002,Male,76,7918
2003,Male,76,8021
2004,Male,76,7994
2005,Male,76,8174
2006,Male,76,8646
2007,Male,76,9015
2008,Male,76,9119
2009,Male,76,9443
2010,Male,76,9727
2011,Male,76,9961
2012,Male,76,10186
2013,Male,76,10576
2014,Male,76,10615
2015,Male,76,11302
2016,Male,76,11594
2017,Male,76,11490
2018,Male,76,12233
1926,Female,76,6234
1936,Female,76,6910
1946,Female,76,7125
1951,Female,76,7343
1961,Female,76,7440
1966,Female,76,7254
1971,Female,76,7497
1979,Female,76,8327
1981,Female,76,8611
1986,Female,76,9338
1991,Female,76,10619
1996,Female,76,10797
1997,Female,76,10972
1998,Female,76,10650
1999,Female,76,11202
2000,Female,76,10816
2001,Female,76,10853
2002,Female,76,10875
2003,Female,76,10870
2004,Female,76,10688
2005,Female,76,10748
2006,Female,76,10914
2007,Female,76,10835
2008,Female,76,10705
2009,Female,76,10820
2010,Female,76,11254
2011,Female,76,11639
2012,Female,76,11866
2013,Female,76,11896
2014,Female,76,11931
2015,Female,76,12563
2016,Female,76,12799
2017,Female,76,12741
2018,Female,76,13065
1926,Male,77,3364
1936,Male,77,4384
1946,Male,77,5626
1951,Male,77,6211
1961,Male,77,5666
1966,Male,77,5922
1971,Male,77,5321
1979,Male,77,5634
1981,Male,77,5729
1986,Male,77,6379
1991,Male,77,6878
1996,Male,77,6953
1997,Male,77,7401
1998,Male,77,7557
1999,Male,77,7325
2000,Male,77,7432
2001,Male,77,7526
2002,Male,77,7591
2003,Male,77,7437
2004,Male,77,7678
2005,Male,77,7713
2006,Male,77,7930
2007,Male,77,8298
2008,Male,77,8576
2009,Male,77,8815
2010,Male,77,9108
2011,Male,77,9381
2012,Male,77,9518
2013,Male,77,9811
2014,Male,77,10181
2015,Male,77,10193
2016,Male,77,10770
2017,Male,77,11127
2018,Male,77,11093
1926,Female,77,4007
1936,Female,77,4972
1946,Female,77,5756
1951,Female,77,6252
1961,Female,77,6456
1966,Female,77,7217
1971,Female,77,6541
1979,Female,77,7399
1981,Female,77,7792
1986,Female,77,8421
1991,Female,77,9715
1996,Female,77,9657
1997,Female,77,10355
1998,Female,77,10630
1999,Female,77,10317
2000,Female,77,10887
2001,Female,77,10577
2002,Female,77,10674
2003,Female,77,10562
2004,Female,77,10519
2005,Female,77,10304
2006,Female,77,10231
2007,Female,77,10556
2008,Female,77,10569
2009,Female,77,10517
2010,Female,77,10672
2011,Female,77,11125
2012,Female,77,11315
2013,Female,77,11552
2014,Female,77,11604
2015,Female,77,11685
2016,Female,77,12308
2017,Female,77,12477
2018,Female,77,12418
1926,Male,78,3666
1936,Male,78,4253
1946,Male,78,4632
1951,Male,78,5216
1961,Male,78,5148
1966,Male,78,4889
1971,Male,78,4568
1979,Male,78,5544
1981,Male,78,5148
1986,Male,78,5349
1991,Male,78,6649
1996,Male,78,5842
1997,Male,78,6381
1998,Male,78,6871
1999,Male,78,6840
2000,Male,78,6644
2001,Male,78,6734
2002,Male,78,6826
2003,Male,78,7007
2004,Male,78,6917
2005,Male,78,7096
2006,Male,78,7016
2007,Male,78,7489
2008,Male,78,7837
2009,Male,78,8052
2010,Male,78,8259
2011,Male,78,8458
2012,Male,78,8994
2013,Male,78,9112
2014,Male,78,9423
2015,Male,78,9760
2016,Male,78,9872
2017,Male,78,10327
2018,Male,78,10694
1926,Female,78,4390
1936,Female,78,5039
1946,Female,78,4573
1951,Female,78,5433
1961,Female,78,5875
1966,Female,78,5500
1971,Female,78,5696
1979,Female,78,8121
1981,Female,78,7033
1986,Female,78,7235
1991,Female,78,9069
1996,Female,78,8236
1997,Female,78,9197
1998,Female,78,9894
1999,Female,78,9968
2000,Female,78,9667
2001,Female,78,10235
2002,Female,78,9932
2003,Female,78,10191
2004,Female,78,10065
2005,Female,78,10069
2006,Female,78,9730
2007,Female,78,9843
2008,Female,78,10166
2009,Female,78,10193
2010,Female,78,10171
2011,Female,78,10276
2012,Female,78,10786
2013,Female,78,11006
2014,Female,78,11254
2015,Female,78,11315
2016,Female,78,11424
2017,Female,78,11988
2018,Female,78,12169
1926,Male,79,2550
1936,Male,79,3090
1946,Male,79,4164
1951,Male,79,4744
1961,Male,79,4986
1966,Male,79,4630
1971,Male,79,4477
1979,Male,79,4550
1981,Male,79,4599
1986,Male,79,4944
1991,Male,79,6129
1996,Male,79,5803
1997,Male,79,5336
1998,Male,79,5899
1999,Male,79,6426
2000,Male,79,6451
2001,Male,79,6378
2002,Male,79,6511
2003,Male,79,6254
2004,Male,79,6492
2005,Male,79,6496
2006,Male,79,6650
2007,Male,79,6492
2008,Male,79,7090
2009,Male,79,7465
2010,Male,79,7649
2011,Male,79,7844
2012,Male,79,8099
2013,Male,79,8636
2014,Male,79,8756
2015,Male,79,9062
2016,Male,79,9289
2017,Male,79,9471
2018,Male,79,9921
1926,Female,79,2979
1936,Female,79,3560
1946,Female,79,4576
1951,Female,79,5121
1961,Female,79,5866
1966,Female,79,5875
1971,Female,79,5464
1979,Female,79,6733
1981,Female,79,6551
1986,Female,79,7300
1991,Female,79,8503
1996,Female,79,8699
1997,Female,79,7787
1998,Female,79,8718
1999,Female,79,9332
2000,Female,79,9317
2001,Female,79,9121
2002,Female,79,9706
2003,Female,79,9499
2004,Female,79,9756
2005,Female,79,9701
2006,Female,79,9686
2007,Female,79,9299
2008,Female,79,9441
2009,Female,79,9773
2010,Female,79,9836
2011,Female,79,9787
2012,Female,79,9976
2013,Female,79,10464
2014,Female,79,10711
2015,Female,79,10961
2016,Female,79,11043
2017,Female,79,11133
2018,Female,79,11704
1926,Male,80,4312
1936,Male,80,3510
1946,Male,80,3393
1951,Male,80,4511
1961,Male,80,4621
1966,Male,80,4002
1971,Male,80,4114
1979,Male,80,4158
1981,Male,80,4361
1986,Male,80,4332
1991,Male,80,5408
1996,Male,80,5285
1997,Male,80,5277
1998,Male,80,4754
1999,Male,80,5276
2000,Male,80,5747
2001,Male,80,5772
2002,Male,80,5629
2003,Male,80,6021
2004,Male,80,5827
2005,Male,80,6078
2006,Male,80,6118
2007,Male,80,6176
2008,Male,80,6152
2009,Male,80,6718
2010,Male,80,7143
2011,Male,80,7331
2012,Male,80,7396
2013,Male,80,7589
2014,Male,80,8175
2015,Male,80,8308
2016,Male,80,8596
2017,Male,80,8716
2018,Male,80,8947
1926,Female,80,5714
1936,Female,80,4476
1946,Female,80,3813
1951,Female,80,4918
1961,Female,80,5906
1966,Female,80,4779
1971,Female,80,5368
1979,Female,80,6034
1981,Female,80,7166
1986,Female,80,6705
1991,Female,80,7837
1996,Female,80,7907
1997,Female,80,8155
1998,Female,80,7229
1999,Female,80,8250
2000,Female,80,8779
2001,Female,80,8752
2002,Female,80,8690
2003,Female,80,9200
2004,Female,80,9045
2005,Female,80,9302
2006,Female,80,9239
2007,Female,80,9273
2008,Female,80,8857
2009,Female,80,9075
2010,Female,80,9500
2011,Female,80,9536
2012,Female,80,9367
2013,Female,80,9532
2014,Female,80,10046
2015,Female,80,10335
2016,Female,80,10517
2017,Female,80,10555
2018,Female,80,10642
1926,Male,81,1916
1936,Male,81,1925
1946,Male,81,2733
1951,Male,81,3404
1961,Male,81,3984
1966,Male,81,3574
1971,Male,81,3556
1979,Male,81,3130
1981,Male,81,3473
1986,Male,81,3697
1991,Male,81,4426
1996,Male,81,4781
1997,Male,81,4709
1998,Male,81,4719
1999,Male,81,4143
2000,Male,81,4698
2001,Male,81,5171
2002,Male,81,5246
2003,Male,81,5092
2004,Male,81,5543
2005,Male,81,5383
2006,Male,81,5537
2007,Male,81,5602
2008,Male,81,5607
2009,Male,81,5592
2010,Male,81,6114
2011,Male,81,6332
2012,Male,81,6794
2013,Male,81,6848
2014,Male,81,7107
2015,Male,81,7653
2016,Male,81,7788
2017,Male,81,8002
2018,Male,81,8140
1926,Female,81,2240
1936,Female,81,2154
1946,Female,81,3235
1951,Female,81,3673
1961,Female,81,4514
1966,Female,81,4370
1971,Female,81,4576
1979,Female,81,4891
1981,Female,81,5402
1986,Female,81,5942
1991,Female,81,6806
1996,Female,81,7833
1997,Female,81,7327
1998,Female,81,7708
1999,Female,81,6785
2000,Female,81,7835
2001,Female,81,8378
2002,Female,81,8360
2003,Female,81,8172
2004,Female,81,8710
2005,Female,81,8492
2006,Female,81,8668
2007,Female,81,8740
2008,Female,81,8765
2009,Female,81,8281
2010,Female,81,8551
2011,Female,81,8902
2012,Female,81,9082
2013,Female,81,8945
2014,Female,81,9081
2015,Female,81,9625
2016,Female,81,9917
2017,Female,81,10013
2018,Female,81,10018
1926,Male,82,2197
1936,Male,82,1954
1946,Male,82,2241
1951,Male,82,2623
1961,Male,82,3031
1966,Male,82,3090
1971,Male,82,3121
1979,Male,82,2953
1981,Male,82,3013
1986,Male,82,3050
1991,Male,82,3596
1996,Male,82,4107
1997,Male,82,4183
1998,Male,82,4179
1999,Male,82,4168
2000,Male,82,3623
2001,Male,82,4199
2002,Male,82,4657
2003,Male,82,4725
2004,Male,82,4586
2005,Male,82,5009
2006,Male,82,4789
2007,Male,82,5050
2008,Male,82,5058
2009,Male,82,5075
2010,Male,82,5090
2011,Male,82,5555
2012,Male,82,5876
2013,Male,82,6280
2014,Male,82,6402
2015,Male,82,6651
2016,Male,82,7018
2017,Male,82,7235
2018,Male,82,7467
1926,Female,82,2839
1936,Female,82,2354
1946,Female,82,2663
1951,Female,82,2948
1961,Female,82,3741
1966,Female,82,3807
1971,Female,82,4225
1979,Female,82,4570
1981,Female,82,4912
1986,Female,82,5236
1991,Female,82,5862
1996,Female,82,7092
1997,Female,82,7179
1998,Female,82,6699
1999,Female,82,7022
2000,Female,82,6124
2001,Female,82,7156
2002,Female,82,7637
2003,Female,82,7744
2004,Female,82,7586
2005,Female,82,8136
2006,Female,82,7910
2007,Female,82,8168
2008,Female,82,8314
2009,Female,82,8235
2010,Female,82,7903
2011,Female,82,8261
2012,Female,82,8452
2013,Female,82,8623
2014,Female,82,8575
2015,Female,82,8671
2016,Female,82,9219
2017,Female,82,9467
2018,Female,82,9563
1926,Male,83,1678
1936,Male,83,1506
1946,Male,83,1965
1951,Male,83,2339
1961,Male,83,2739
1966,Male,83,2817
1971,Male,83,2631
1979,Male,83,2547
1981,Male,83,2448
1986,Male,83,2789
1991,Male,83,3022
1996,Male,83,3652
1997,Male,83,3537
1998,Male,83,3633
1999,Male,83,3608
2000,Male,83,3678
2001,Male,83,3197
2002,Male,83,3779
2003,Male,83,4147
2004,Male,83,4185
2005,Male,83,3991
2006,Male,83,4362
2007,Male,83,4339
2008,Male,83,4640
2009,Male,83,4725
2010,Male,83,4737
2011,Male,83,4746
2012,Male,83,5133
2013,Male,83,5420
2014,Male,83,5871
2015,Male,83,6001
2016,Male,83,6166
2017,Male,83,6561
2018,Male,83,6783
1926,Female,83,2014
1936,Female,83,1788
1946,Female,83,2470
1951,Female,83,2517
1961,Female,83,3258
1966,Female,83,3639
1971,Female,83,3393
1979,Female,83,4186
1981,Female,83,3981
1986,Female,83,4726
1991,Female,83,5161
1996,Female,83,6389
1997,Female,83,6455
1998,Female,83,6526
1999,Female,83,6031
2000,Female,83,6354
2001,Female,83,5488
2002,Female,83,6532
2003,Female,83,7133
2004,Female,83,7199
2005,Female,83,7068
2006,Female,83,7542
2007,Female,83,7371
2008,Female,83,7770
2009,Female,83,7855
2010,Female,83,7878
2011,Female,83,7577
2012,Female,83,7804
2013,Female,83,8015
2014,Female,83,8178
2015,Female,83,8201
2016,Female,83,8225
2017,Female,83,8787
2018,Female,83,9031
1926,Male,84,1979
1936,Male,84,1589
1946,Male,84,1601
1951,Male,84,1772
1961,Male,84,2299
1966,Male,84,2341
1971,Male,84,2241
1979,Male,84,2129
1981,Male,84,2120
1986,Male,84,2258
1991,Male,84,2513
1996,Male,84,3249
1997,Male,84,3190
1998,Male,84,3172
1999,Male,84,3204
2000,Male,84,3266
2001,Male,84,3357
2002,Male,84,2972
2003,Male,84,3377
2004,Male,84,3775
2005,Male,84,3812
2006,Male,84,3650
2007,Male,84,3882
2008,Male,84,3870
2009,Male,84,4225
2010,Male,84,4251
2011,Male,84,4304
2012,Male,84,4436
2013,Male,84,4711
2014,Male,84,5044
2015,Male,84,5500
2016,Male,84,5364
2017,Male,84,5724
2018,Male,84,6129
1926,Female,84,2508
1936,Female,84,1994
1946,Female,84,2028
1951,Female,84,2182
1961,Female,84,2947
1966,Female,84,3165
1971,Female,84,3150
1979,Female,84,3389
1981,Female,84,3586
1986,Female,84,4149
1991,Female,84,4670
1996,Female,84,5476
1997,Female,84,5824
1998,Female,84,5990
1999,Female,84,6111
2000,Female,84,5732
2001,Female,84,6149
2002,Female,84,5355
2003,Female,84,6078
2004,Female,84,6646
2005,Female,84,6714
2006,Female,84,6574
2007,Female,84,6989
2008,Female,84,6839
2009,Female,84,7153
2010,Female,84,7188
2011,Female,84,7213
2012,Female,84,7206
2013,Female,84,7419
2014,Female,84,7639
2015,Female,84,7834
2016,Female,84,7655
2017,Female,84,7820
2018,Female,84,8367
1926,Male,85,1573
1936,Male,85,1231
1946,Male,85,1506
1951,Male,85,1442
1961,Male,85,2049
1966,Male,85,2076
1971,Male,85,1754
1979,Male,85,1761
1981,Male,85,1781
1986,Male,85,1951
1991,Male,85,2082
1996,Male,85,2542
1997,Male,85,2757
1998,Male,85,2659
1999,Male,85,2572
2000,Male,85,2572
2001,Male,85,2648
2002,Male,85,2669
2003,Male,85,2555
2004,Male,85,2949
2005,Male,85,3323
2006,Male,85,3279
2007,Male,85,3175
2008,Male,85,3448
2009,Male,85,3495
2010,Male,85,3672
2011,Male,85,3756
2012,Male,85,3826
2013,Male,85,3869
2014,Male,85,4212
2015,Male,85,4521
2016,Male,85,4831
2017,Male,85,4803
2018,Male,85,5167
1926,Female,85,1848
1936,Female,85,1469
1946,Female,85,2099
1951,Female,85,1948
1961,Female,85,2559
1966,Female,85,3038
1971,Female,85,2598
1979,Female,85,2851
1981,Female,85,3114
1986,Female,85,4158
1991,Female,85,4043
1996,Female,85,4862
1997,Female,85,4883
1998,Female,85,5114
1999,Female,85,5163
2000,Female,85,5242
2001,Female,85,4854
2002,Female,85,5142
2003,Female,85,4857
2004,Female,85,5563
2005,Female,85,6084
2006,Female,85,6069
2007,Female,85,5959
2008,Female,85,6379
2009,Female,85,6204
2010,Female,85,6481
2011,Female,85,6475
2012,Female,85,6657
2013,Female,85,6640
2014,Female,85,6856
2015,Female,85,7063
2016,Female,85,7055
2017,Female,85,7013
2018,Female,85,7200
1926,Male,86,1429
1936,Male,86,1108
1946,Male,86,1101
1951,Male,86,1060
1961,Male,86,1436
1966,Male,86,1590
1971,Male,86,1587
1979,Male,86,1388
1981,Male,86,1370
1986,Male,86,1509
1991,Male,86,1642
1996,Male,86,1975
1997,Male,86,2095
1998,Male,86,2317
1999,Male,86,2199
2000,Male,86,2200
2001,Male,86,2173
2002,Male,86,2254
2003,Male,86,2176
2004,Male,86,2072
2005,Male,86,2430
2006,Male,86,2743
2007,Male,86,2815
2008,Male,86,2783
2009,Male,86,3075
2010,Male,86,3093
2011,Male,86,3251
2012,Male,86,3235
2013,Male,86,3292
2014,Male,86,3373
2015,Male,86,3640
2016,Male,86,3951
2017,Male,86,4210
2018,Male,86,4243
1926,Female,86,1776
1936,Female,86,1364
1946,Female,86,1465
1951,Female,86,1424
1961,Female,86,1980
1966,Female,86,2164
1971,Female,86,2249
1979,Female,86,2372
1981,Female,86,2450
1986,Female,86,2920
1991,Female,86,3446
1996,Female,86,4026
1997,Female,86,4255
1998,Female,86,4372
1999,Female,86,4540
2000,Female,86,4638
2001,Female,86,4739
2002,Female,86,4474
2003,Female,86,4570
2004,Female,86,4226
2005,Female,86,4878
2006,Female,86,5375
2007,Female,86,5415
2008,Female,86,5392
2009,Female,86,5770
2010,Female,86,5644
2011,Female,86,5976
2012,Female,86,5830
2013,Female,86,5970
2014,Female,86,6010
2015,Female,86,6278
2016,Female,86,6340
2017,Female,86,6400
2018,Female,86,6386
1926,Male,87,989
1936,Male,87,636
1946,Male,87,668
1951,Male,87,795
1961,Male,87,1172
1966,Male,87,1101
1971,Male,87,1201
1979,Male,87,1054
1981,Male,87,1054
1986,Male,87,1173
1991,Male,87,1265
1996,Male,87,1498
1997,Male,87,1687
1998,Male,87,1792
1999,Male,87,1963
2000,Male,87,1823
2001,Male,87,1885
2002,Male,87,1858
2003,Male,87,1853
2004,Male,87,1812
2005,Male,87,1723
2006,Male,87,2081
2007,Male,87,2343
2008,Male,87,2383
2009,Male,87,2386
2010,Male,87,2596
2011,Male,87,2637
2012,Male,87,2786
2013,Male,87,2752
2014,Male,87,2855
2015,Male,87,2928
2016,Male,87,3163
2017,Male,87,3471
2018,Male,87,3726
1926,Female,87,1254
1936,Female,87,911
1946,Female,87,945
1951,Female,87,1033
1961,Female,87,1540
1966,Female,87,1606
1971,Female,87,1739
1979,Female,87,1782
1981,Female,87,1993
1986,Female,87,2386
1991,Female,87,2915
1996,Female,87,3253
1997,Female,87,3564
1998,Female,87,3726
1999,Female,87,3788
2000,Female,87,3961
2001,Female,87,4063
2002,Female,87,4123
2003,Female,87,3892
2004,Female,87,4057
2005,Female,87,3677
2006,Female,87,4341
2007,Female,87,4842
2008,Female,87,4919
2009,Female,87,4991
2010,Female,87,5392
2011,Female,87,5313
2012,Female,87,5421
2013,Female,87,5259
2014,Female,87,5390
2015,Female,87,5478
2016,Female,87,5594
2017,Female,87,5718
2018,Female,87,5833
1926,Male,88,646
1936,Male,88,496
1946,Male,88,526
1951,Male,88,557
1961,Male,88,788
1966,Male,88,829
1971,Male,88,905
1979,Male,88,885
1981,Male,88,838
1986,Male,88,823
1991,Male,88,1074
1996,Male,88,1154
1997,Male,88,1198
1998,Male,88,1362
1999,Male,88,1379
2000,Male,88,1510
2001,Male,88,1358
2002,Male,88,1428
2003,Male,88,1559
2004,Male,88,1602
2005,Male,88,1649
2006,Male,88,1576
2007,Male,88,1747
2008,Male,88,1985
2009,Male,88,2034
2010,Male,88,2026
2011,Male,88,2188
2012,Male,88,2254
2013,Male,88,2387
2014,Male,88,2395
2015,Male,88,2513
2016,Male,88,2557
2017,Male,88,2751
2018,Male,88,3094
1926,Female,88,870
1936,Female,88,685
1946,Female,88,689
1951,Female,88,790
1961,Female,88,1160
1966,Female,88,1243
1971,Female,88,1477
1979,Female,88,1609
1981,Female,88,1583
1986,Female,88,1691
1991,Female,88,2408
1996,Female,88,2608
1997,Female,88,2780
1998,Female,88,3084
1999,Female,88,3189
2000,Female,88,3170
2001,Female,88,3383
2002,Female,88,3524
2003,Female,88,3602
2004,Female,88,3440
2005,Female,88,3677
2006,Female,88,3339
2007,Female,88,3848
2008,Female,88,4323
2009,Female,88,4281
2010,Female,88,4315
2011,Female,88,4635
2012,Female,88,4775
2013,Female,88,4897
2014,Female,88,4736
2015,Female,88,4880
2016,Female,88,4808
2017,Female,88,5032
2018,Female,88,5180
1926,Male,89,407
1936,Male,89,324
1946,Male,89,494
1951,Male,89,431
1961,Male,89,651
1966,Male,89,725
1971,Male,89,735
1979,Male,89,844
1981,Male,89,628
1986,Male,89,695
1991,Male,89,834
1996,Male,89,894
1997,Male,89,936
1998,Male,89,1006
1999,Male,89,1209
2000,Male,89,1157
2001,Male,89,1360
2002,Male,89,1235
2003,Male,89,1177
2004,Male,89,1203
2005,Male,89,1263
2006,Male,89,1271
2007,Male,89,1315
2008,Male,89,1438
2009,Male,89,1693
2010,Male,89,1718
2011,Male,89,1713
2012,Male,89,1873
2013,Male,89,1944
2014,Male,89,2078
2015,Male,89,2063
2016,Male,89,2116
2017,Male,89,2280
2018,Male,89,2432
1926,Female,89,503
1936,Female,89,469
1946,Female,89,672
1951,Female,89,687
1961,Female,89,945
1966,Female,89,1122
1971,Female,89,1216
1979,Female,89,1387
1981,Female,89,1274
1986,Female,89,1546
1991,Female,89,1907
1996,Female,89,2240
1997,Female,89,2177
1998,Female,89,2342
1999,Female,89,2620
2000,Female,89,2642
2001,Female,89,2676
2002,Female,89,2922
2003,Female,89,2984
2004,Female,89,3034
2005,Female,89,2892
2006,Female,89,3075
2007,Female,89,2875
2008,Female,89,3413
2009,Female,89,3797
2010,Female,89,3742
2011,Female,89,3826
2012,Female,89,4174
2013,Female,89,4297
2014,Female,89,4434
2015,Female,89,4307
2016,Female,89,4286
2017,Female,89,4342
2018,Female,89,4580
1926,Male,90,559
1936,Male,90,391
1946,Male,90,352
1951,Male,90,373
1961,Male,90,532
1966,Male,90,521
1971,Male,90,602
1979,Male,90,600
1981,Male,90,558
1986,Male,90,504
1991,Male,90,618
1996,Male,90,695
1997,Male,90,633
1998,Male,90,673
1999,Male,90,677
2000,Male,90,825
2001,Male,90,769
2002,Male,90,933
2003,Male,90,1109
2004,Male,90,995
2005,Male,90,1024
2006,Male,90,1084
2007,Male,90,1026
2008,Male,90,1080
2009,Male,90,1222
2010,Male,90,1443
2011,Male,90,1403
2012,Male,90,1371
2013,Male,90,1429
2014,Male,90,1538
2015,Male,90,1675
2016,Male,90,1667
2017,Male,90,1723
2018,Male,90,1879
1926,Female,90,789
1936,Female,90,535
1946,Female,90,501
1951,Female,90,618
1961,Female,90,787
1966,Female,90,820
1971,Female,90,1022
1979,Female,90,1140
1981,Female,90,1129
1986,Female,90,1221
1991,Female,90,1695
1996,Female,90,1822
1997,Female,90,1894
1998,Female,90,1816
1999,Female,90,1986
2000,Female,90,2268
2001,Female,90,2281
2002,Female,90,2335
2003,Female,90,2437
2004,Female,90,2548
2005,Female,90,2652
2006,Female,90,2514
2007,Female,90,2616
2008,Female,90,2471
2009,Female,90,2990
2010,Female,90,3361
2011,Female,90,3304
2012,Female,90,3183
2013,Female,90,3429
2014,Female,90,3550
2015,Female,90,3682
2016,Female,90,3695
2017,Female,90,3632
2018,Female,90,3666
1926,Male,91,176
1936,Male,91,149
1946,Male,91,206
1951,Male,91,221
1961,Male,91,341
1966,Male,91,362
1971,Male,91,424
1979,Male,91,410
1981,Male,91,497
1986,Male,91,374
1991,Male,91,423
1996,Male,91,562
1997,Male,91,521
1998,Male,91,481
1999,Male,91,525
2000,Male,91,558
2001,Male,91,724
2002,Male,91,667
2003,Male,91,731
2004,Male,91,889
2005,Male,91,832
2006,Male,91,785
2007,Male,91,828
2008,Male,91,768
2009,Male,91,816
2010,Male,91,965
2011,Male,91,1117
2012,Male,91,1047
2013,Male,91,973
2014,Male,91,1042
2015,Male,91,1139
